Unnamed: 0,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
Vs Australia,2013-2023,34,65,5,2428,180,40.46,4825.0,50.32,4,18,5,270,12.0
Vs Bangladesh,2016-2016,2,4,0,98,56,24.5,177.0,55.36,0,1,0,9,0.0
Vs India,2012-2025,35,64,7,3383,218,59.35,6115.0,55.32,13,12,1,360,8.0
Vs Ireland,2019-2023,2,3,0,89,56,29.66,130.0,68.46,0,1,0,7,1.0
Vs New Zealand,2013-2024,21,40,4,1925,226,53.47,3329.0,57.82,6,9,4,213,11.0
Vs Pakistan,2015-2024,18,31,3,1487,262,53.1,2410.0,61.7,2,7,1,147,0.0
Vs South Africa,2015-2022,15,27,1,1210,190,46.53,1923.0,62.92,2,9,0,155,4.0
Vs Sri Lanka,2014-2024,13,24,2,1376,228,62.54,2145.0,64.14,6,2,1,125,3.0
Vs West Indies,2015-2024,17,29,2,1513,182*,56.03,2458.0,61.55,6,7,1,162,6.0
Vs Zimbabwe,2025-2025,1,1,0,34,34,34.0,44.0,77.27,0,0,0,3,0.0
